1404206675662,15525,1,Home
1404206678364,1994,1,Register
1404206681589,2055,1,RegisterDetails
1404206694350,35930,0,Home
1404206695118,28160,2,Home
1404206695950,235,0,Register
1404206704410,2003,0,RegisterDetails
1404206708244,40118,3,Home
1404206708477,12851,2,Register
1404206709170,37903,4,Home
1404206709760,251,4,Register
1404206711540,1985,2,RegisterDetails
1404206713355,1932,4,RegisterDetails
1404206714850,343,3,Register
1404206717952,3081,3,RegisterDetails
1404206718768,4942,4,Logout
1404206718976,36454,1,Logout
1404206719731,7351,2,Logout
1404206720850,13468,0,Logout
1404206723279,778,4,End
1404206723509,891,1,End
1404206723600,751,0,End
1404206724768,3232,2,End
1404206728508,1699,2,Home
1404206728550,10166,3,Logout
1404206728585,1307,0,Home
1404206729137,857,4,Home
1404206730524,867,3,End
1404206730848,995,1,Home
1404206730853,1913,0,QuickAddMain
1404206732099,463,2,Login
1404206733349,125,1,CartView
1404206734260,1551,3,Home
1404206735681,3257,2,LoginDetails
1404206736371,1196,1,Home
1404206737537,155,4,CartView
1404206738087,4901,0,CartAddAll
1404206738533,801,3,End
1404206738955,654,1,End
1404206739044,3011,2,Home
1404206739852,432,3,End
1404206740324,1012,2,CartView
1404206740972,1720,4,Home
1404206741378,740,1,End
1404206741524,1115,0,Home
1404206741585,828,2,Home
1404206742442,130,0,CartView
1404206742920,1072,2,SearchRand
1404206743407,979,3,Home
1404206744316,1156,1,Home
1404206744511,816,4,End
1404206745074,577,1,Login
1404206745378,377,2,CartAddFirst
1404206746257,1373,0,Home
1404206746419,118,3,Login
1404206746940,1731,1,LoginDetails
1404206748625,541,4,End
1404206749633,779,2,SearchRand
1404206750058,391,0,Login
1404206750990,1620,3,LoginDetails
1404206751978,1868,2,CartAddFirst
1404206753169,2229,0,LoginDetails
1404206753821,2133,3,Home
1404206754038,1049,4,Home
1404206754599,1221,0,Home
1404206754991,1944,2,SearchRand
1404206755670,428,2,CartAddFirst
1404206756708,847,3,CartView
1404206756947,704,4,End
1404206757871,1074,3,Home
1404206758469,1726,0,SearchRand
1404206759182,1411,1,Home
1404206759248,3229,2,Home
1404206759880,700,4,End
1404206759911,786,0,CartAddFirst
1404206760579,1328,1,SearchRand
1404206760699,138,3,CartView
1404206764383,3273,1,CartAddFirst
1404206764882,1524,3,Home
1404206764905,2531,0,SearchRand
1404206765730,533,0,CartAddFirst
1404206766518,1331,3,Logout
1404206768824,2936,1,SearchRand
1404206768854,4784,2,Logout
1404206769963,2162,3,End
1404206770639,2108,4,Home
1404206771105,841,3,End
1404206771115,1638,1,CartAddFirst
1404206771334,114,4,CategoryDropShipProducts
1404206772222,5500,0,SearchRand
1404206772587,799,2,End
1404206773060,677,3,Home
1404206776225,425,0,CartAddFirst
1404206776228,2393,4,Home
1404206776239,3127,1,SearchRand
1404206776909,598,4,Login
1404206777070,2529,3,QuickAddMain
1404206777809,506,1,CartAddFirst
1404206779439,1609,4,LoginDetails
1404206779621,2201,0,Home
1404206780653,743,2,End
1404206780780,518,3,CartAddAll
1404206780894,2028,1,Home
1404206781008,1447,4,Home
1404206783517,2661,3,Home
1404206783843,2689,1,CartAddRoundGizmo
1404206783978,1442,2,Home
1404206784525,1720,0,SearchRand
1404206785611,3510,4,Logout
1404206785765,904,1,CartView
1404206787254,476,4,End
1404206787376,737,3,End
1404206787753,1697,1,Main
1404206788364,362,2,End
1404206788569,612,1,CheckOut
1404206789514,486,2,End
1404206789702,377,0,CartAddFirst
1404206789721,977,1,CheckOutAddressNext
1404206790243,373,4,End
1404206790952,484,3,End
1404206793108,1244,2,Home
1404206793202,1639,0,SearchRand
1404206794143,850,4,Home
1404206795057,623,1,CheckOutShippingNext
1404206796361,1304,1,SESSIONFAILED(CheckOutPaymentNext)
1404206797070,220,2,CategoryServices
1404206797934,2870,0,CartAddFirst
1404206799017,1176,3,Home
1404206799248,2886,1,End
1404206799565,1201,2,Home
1404206800577,1940,0,SearchRand
1404206801435,444,0,CartAddFirst
1404206801582,206,4,CategoryDropShipProducts
1404206801588,542,2,End
1404206802033,345,2,End
1404206804679,2035,1,Home
1404206805246,4079,3,CartAddTinyChromeWidget
1404206806942,219,1,CategoryDropShipProducts
1404206807141,2927,2,Home
1404206807932,1837,4,Home
1404206808110,2490,3,Login
1404206809350,1790,1,Home
1404206810357,2144,3,LoginDetails
1404206810492,1751,0,Home
1404206811432,119,2,CartView
1404206812404,1918,3,Main
1404206813366,373,1,End
1404206814958,2110,2,Home
1404206815137,116,2,Login
1404206815497,2724,3,CartAddRoundGizmo
1404206816457,256,4,CategoryDropShipProducts
1404206816752,2585,0,Logout
1404206817358,516,1,End
1404206818328,1707,3,CheckOut
1404206819049,1598,2,LoginDetails
1404206819369,464,0,End
1404206820607,477,3,CheckOutAddressNext
1404206821087,551,0,End
1404206821409,801,3,SESSIONFAILED(CheckOutShippingNext)
1404206823896,4183,1,Home
1404206824631,728,1,Login
1404206825753,7139,4,Home
1404206826483,5073,3,End
1404206827103,563,4,Login
1404206827290,4644,2,Home
1404206828284,2176,1,LoginDetails
1404206829008,1393,3,Home
1404206830491,7959,0,Home
1404206830756,495,3,End
1404206831041,1683,4,LoginDetails
1404206831393,487,3,End
1404206833424,2326,4,Home
1404206833759,2828,0,QuickAddMain
1404206834457,2441,3,Home
1404206835720,245,0,CartAddAll
1404206837123,1396,1,Home
1404206838068,1195,2,QuickAddMain
1404206840089,3298,4,ContactUs
1404206840376,445,2,CartAddAll
1404206841163,1777,0,Home
1404206842043,2254,3,CartAddTinyChromeWidget
1404206842132,1995,4,ContactUsDetails
1404206842265,3181,1,QuickAddWidget
1404206844060,182,3,Login
1404206844184,423,1,CartAddAll
1404206845220,356,2,CheckOut
1404206845866,281,0,CategoryConfigurablesFoods
1404206846498,1666,1,CartView
1404206846525,1789,3,LoginDetails
1404206848283,1653,3,Main
1404206848836,2070,4,Home
1404206848912,2264,0,Home
1404206849483,121,0,Login
1404206850077,1308,2,CheckOutAddressNext
1404206852474,535,2,CheckOutShippingNext
1404206852878,3074,3,CartAddRoundGizmo
1404206854544,3485,4,Logout
1404206854667,963,2,CheckOutPaymentNext
1404206854872,234,3,CheckOut
1404206855369,3474,0,LoginDetails
1404206855932,911,4,End
1404206856251,949,3,CheckOutAddressNext
1404206856890,483,1,CheckOut
1404206857647,419,3,CheckOutShippingNext
1404206858112,386,4,End
1404206862642,2655,0,Home
1404206863767,1104,3,CheckOutPaymentNext
1404206864837,6322,4,Home
1404206866179,1280,0,Logout
1404206866546,1709,4,SESSIONFAILED(QuickAddMain)
1404206867791,876,1,CheckOutAddressNext
1404206868571,2025,4,End
1404206868587,12720,2,CheckOutReviewSubmit
1404206868594,479,1,CheckOutShippingNext
1404206868853,2100,0,End
1404206870661,1311,1,CheckOutPaymentNext
1404206870742,606,0,End
1404206871286,1364,2,Home
1404206874062,1943,0,Home
1404206874654,912,2,SearchRand
1404206875201,363,2,CartAddFirst
1404206875507,406,0,End
1404206876043,5685,4,Home
1404206876575,391,0,End
1404206877213,397,4,End
1404206877878,1703,2,SearchRand
1404206879890,338,4,End
1404206880904,299,2,CartAddFirst
1404206884212,3323,0,Home
1404206884307,20469,3,CheckOutReviewSubmit
