1406715622174,0,32,0
1406715625401,0,0,0
1406715632972,0,24,0
1406715633279,0,27,0
1406715634325,0,1,0
1406715634783,0,29,0
1406715637249,0,9,0
1406715638241,0,20,0
1406715641887,0,13,0
1406715647097,0,16,0
1406715648977,1,11,0
1406715651189,0,12,0
1406715655741,0,26,0
1406715655964,0,31,0
1406715656022,0,25,0
1406715656396,0,4,0
1406715660011,0,22,0
1406715661931,0,21,1
1406715664364,0,15,0
1406715665116,0,9,0
1406715670493,0,30,0
1406715672185,0,10,0
1406715673147,0,5,0
1406715673245,0,32,0
1406715673556,0,3,0
1406715675410,0,16,0
1406715679431,0,34,0
1406715680463,0,12,0
1406715685646,0,27,0
1406715694652,0,9,0
1406715694941,0,31,0
1406715703423,0,3,0
1406715706093,0,22,0
1406715711074,0,13,0
1406715711251,0,9,0
1406715711726,0,27,0
1406715714218,0,19,0
1406715714804,0,1,0
1406715716478,0,33,0
1406715717837,0,23,0
1406715718591,0,24,0
1406715719058,0,4,0
1406715721139,0,14,0
1406715722936,0,5,0
1406715722943,0,31,0
1406715723012,0,17,0
1406715724489,0,28,0
1406715724614,0,6,0
1406715725559,0,22,0
1406715725907,0,26,0
1406715727465,0,20,0
1406715733781,0,14,0
1406715735492,0,8,0
1406715735779,0,13,0
1406715736487,0,16,0
1406715736968,0,27,0
1406715739087,0,3,0
1406715739388,0,18,0
1406715740351,0,15,0
1406715747134,0,34,0
1406715747472,0,1,0
1406715748831,0,3,0
1406715748861,0,18,0
1406715749607,0,25,0
1406715751474,0,15,0
1406715751678,0,21,0
1406715756099,0,7,0
1406715757231,0,33,0
1406715759439,0,9,0
1406715761776,0,6,0
1406715762635,0,0,0
1406715763393,0,34,0
1406715764270,0,10,0
1406715768483,0,29,0
1406715769150,0,5,0
1406715769729,0,7,0
1406715774395,0,28,0
1406715774683,0,33,0
1406715776855,0,9,0
1406715777861,0,4,0
1406715780822,0,20,0
1406715780995,0,0,0
1406715781847,0,19,0
1406715784876,0,23,0
1406715787553,0,32,0
1406715790427,0,14,0
1406715791274,0,20,0
1406715793070,0,17,0
1406715794380,0,21,0
1406715795029,0,2,0
1406715795377,0,15,0
1406715797004,0,0,0
1406715803253,0,22,0
1406715804837,0,14,0
1406715805533,0,13,0
1406715807406,0,18,0
1406715807460,0,17,0
1406715810072,0,6,0
1406715810154,0,3,0
1406715811241,0,12,0
1406715812579,0,16,0
1406715813635,0,23,0
1406715814908,0,11,0
1406715815725,0,32,0
1406715817610,0,29,0
1406715818809,0,24,0
1406715819528,0,7,0
1406715822329,0,27,0
1406715822487,0,33,0
1406715824317,0,10,0
1406715824625,0,26,0
1406715827179,0,30,1
1406715827401,0,11,0
1406715827439,0,31,0
1406715828449,0,19,0
1406715836546,0,14,0
1406715836601,1,28,0
1406715836867,0,1,0
1406715837399,0,25,0
1406715840349,0,34,0
1406715840807,0,21,0
1406715845304,0,15,0
1406715845673,0,9,0
1406715846480,0,8,0
1406715847228,0,13,0
1406715848163,0,5,0
1406715848299,0,3,0
1406715850767,0,6,0
1406715853449,0,17,0
1406715858040,1,18,0
1406715858435,0,9,1
1406715858766,0,5,0
1406715860631,0,12,0
1406715860870,0,2,0
1406715866057,0,17,0
1406715867511,0,14,0
1406715870087,0,19,0
1406715872385,0,22,0
1406715873781,0,34,0
1406715874591,0,6,0
1406715886233,0,15,0
1406715888006,0,29,0
1406715889893,0,20,0
1406715892254,0,33,0
1406715892471,0,23,0
1406715896522,0,28,0
1406715897868,0,5,0
1406715899047,0,30,0
1406715899783,0,17,0
1406715900919,0,20,0
1406715902016,0,4,0
1406715908007,0,16,0
1406715911568,0,10,0
1406715912083,0,21,0
1406715912703,0,20,0
1406715917981,0,26,0
1406715918163,0,6,0
1406715920449,0,24,0
1406715920661,0,2,0
1406715921543,0,13,0
1406715921608,0,12,0
1406715921893,0,8,0
1406715922530,0,27,0
1406715924053,0,19,0
1406715925851,0,29,0
1406715926044,0,9,0
1406715926099,0,34,0
1406715931608,0,8,0
1406715933155,0,16,0
1406715933617,0,7,0
1406715936227,0,15,0
1406715936517,0,10,0
1406715936648,0,3,0
1406715937105,0,18,0
1406715937749,0,23,0
1406715938344,0,25,0
1406715939557,0,28,0
1406715940439,0,11,0
1406715943595,0,14,0
1406715945964,0,1,0
1406715948507,0,5,0
1406715948668,0,0,0
1406715952953,0,4,0
1406715955527,0,32,0
1406715958452,0,30,1
1406715959531,0,27,0
1406715966121,0,17,0
1406715970683,0,31,0
1406715973604,0,21,0
1406715974277,0,7,0
1406715975220,0,24,0
1406715978970,0,22,0
1406715989430,0,24,0
1406715993003,0,4,0
1406715997087,0,33,0
1406715999347,0,29,0
1406716003487,0,6,0
1406716008925,0,26,0
1406716012566,0,11,0
1406716014307,0,19,0
1406716016590,0,10,0
1406716019140,0,7,0
1406716023935,0,8,0
1406716024038,0,16,0
1406716025335,0,15,0
1406716025404,0,23,0
1406716026188,0,18,0
1406716028582,0,20,0
1406716031303,0,2,0
1406716032078,0,7,0
1406716032293,0,5,0
1406716033427,0,13,0
1406716034430,0,3,0
1406716038661,0,9,0
1406716040964,0,22,0
1406716042833,0,12,0
1406716044032,0,26,0
1406716046062,0,31,0
1406716050436,0,25,0
1406716053042,0,14,0
1406716053166,0,34,0
1406716054258,0,12,0
1406716055605,0,1,0
1406716057043,0,9,0
1406716059558,0,6,0
1406716060898,1,18,0
1406716064741,0,30,0
1406716066030,0,21,0
1406716067331,0,22,0
1406716072491,0,0,0
1406716074504,0,2,0
1406716077377,0,21,0
1406716077972,0,24,0
1406716086410,0,29,0
1406716088805,0,25,0
1406716089541,0,4,0
1406716091171,0,15,0
1406716091893,0,24,0
1406716091966,0,11,0
1406716092395,0,21,0
1406716093745,0,28,0
1406716096605,0,5,0
1406716101965,0,17,0
1406716103754,0,29,0
1406716106678,0,32,0
1406716107376,0,10,0
1406716108042,0,2,0
1406716116284,0,13,0
1406716124089,0,19,1
1406716124747,0,14,0
1406716125724,0,16,0
1406716129251,0,6,0
1406716133342,0,30,0
1406716135493,0,8,0
1406716136946,0,34,0
1406716140655,0,9,0
1406716140677,0,22,0
1406716141048,0,11,0
1406716143031,0,33,0
1406716146124,0,18,0
1406716147445,0,24,0
1406716148654,0,12,0
1406716153823,0,4,1
1406716155747,0,34,0
1406716156344,0,26,0
1406716159583,0,21,0
1406716159619,0,14,0
1406716159839,0,28,0
1406716164230,0,3,0
1406716165131,0,7,0
1406716169037,0,30,0
1406716171192,0,2,0
1406716172363,0,8,0
1406716173834,0,22,0
1406716176096,0,0,0
1406716176265,0,31,0
1406716181930,0,5,0
1406716191077,0,23,0
1406716201917,0,32,0
1406716203111,0,25,0
1406716204240,0,20,0
1406716204393,0,17,0
1406716206040,0,29,0
1406716209559,0,1,0
1406716209584,0,27,0
1406716209959,0,2,0
1406716210621,0,9,0
1406716210938,0,8,0
1406716211173,0,14,0
1406716211630,0,10,0
1406716214371,0,30,0
1406716218373,1,26,0
1406716219182,0,0,0
1406716220275,0,34,0
1406716221507,0,8,0
1406716222882,0,13,0
1406716226661,0,11,0
1406716232115,0,23,0
1406716232686,0,7,0
1406716240018,0,0,0
1406716248989,0,15,0
1406716249712,0,16,0
1406716251708,0,26,0
1406716252529,0,29,0
1406716267035,0,13,0
1406716268055,0,0,0
1406716271969,0,11,0
1406716276264,1,21,0
1406716282073,0,6,0
1406716283026,0,14,0
1406716290214,0,3,0
1406716291419,0,10,0
1406716294274,0,29,0
1406716294363,0,23,0
1406716294535,0,7,0
1406716299602,0,26,0
1406716299813,0,28,0
1406716305087,0,29,0
1406716309665,0,7,0
1406716310784,0,33,0
1406716324957,0,14,0
1406716325126,0,21,0
1406716327331,0,23,0
1406716328162,0,18,0
1406716330099,0,8,0
1406716341444,0,10,0
1406716351530,0,24,0
1406716354653,0,26,0
1406716355325,0,4,0
1406716359713,0,4,0
1406716364913,0,15,0
1406716364952,0,24,0
1406716366477,0,30,0
1406716366752,0,7,0
1406716367089,0,21,0
1406716367160,0,28,0
1406716374158,0,3,0
1406716375378,0,29,0
1406716375443,0,13,0
1406716375596,0,8,0
1406716377236,0,31,0
1406716380554,0,28,0
1406716387036,0,33,0
1406716388386,0,17,0
1406716389554,0,10,0
1406716393693,0,18,0
1406716396770,0,25,0
1406716399053,0,19,0
1406716399344,0,10,0
1406716400529,0,14,0
1406716402807,0,8,0
1406716407444,0,20,0
1406716407654,0,27,0
1406716408312,0,33,0
1406716409532,0,2,0
1406716412979,0,27,0
1406716413783,0,17,0
1406716413961,1,10,0
1406716416696,0,13,0
1406716420031,0,30,0
1406716421496,0,15,0
1406716423539,0,6,0
1406716423622,0,3,0
1406716425496,0,20,0
1406716426040,0,21,0
1406716426306,0,0,0
1406716426998,0,7,1
1406716427458,0,22,0
1406716427927,0,31,0
1406716428548,0,28,0
1406716428567,0,29,0
1406716433627,0,15,0
1406716433765,0,30,0
1406716436496,0,14,0
1406716439232,0,12,0
1406716440083,0,19,0
1406716440636,0,16,0
1406716442065,0,10,0
1406716443536,0,29,0
1406716444084,0,34,0
1406716450822,1,18,0
1406716451005,0,8,0
1406716453365,0,22,0
1406716453908,0,29,0
1406716464875,1,31,0
1406716469531,0,13,0
1406716470471,0,30,0
1406716473154,0,21,0
1406716474033,0,6,0
1406716475421,0,22,0
1406716481317,0,9,0
1406716482763,0,28,0
1406716483132,0,19,0
1406716485020,0,3,0
1406716485998,0,15,0
1406716487073,0,22,0
1406716487602,0,11,0
1406716489012,0,10,0
1406716489048,0,17,0
1406716490412,0,4,0
1406716491179,0,12,0
1406716494882,0,26,0
1406716495620,0,14,0
1406716495760,0,28,0
1406716496208,0,27,0
1406716503003,0,15,0
1406716505211,0,29,0
1406716507341,0,18,0
1406716508552,0,4,0
1406716509274,0,7,0
1406716510713,0,25,0
1406716512654,0,27,0
1406716512865,0,23,0
1406716513749,0,30,0
1406716515101,0,15,0
1406716518771,0,14,0
1406716519614,0,20,0
1406716520241,0,22,0
1406716521133,0,31,0
1406716522593,0,27,0
1406716523873,0,8,0
1406716526705,0,6,0
1406716527938,0,26,0
1406716528239,0,14,0
1406716534943,0,15,0
1406716538767,0,30,0
1406716546221,0,13,0
1406716547992,0,32,0
1406716549377,0,31,0
1406716554399,0,33,0
1406716581956,0,13,0
1406716583136,0,17,0
1406716591690,0,15,0
1406716592150,1,27,0
1406716592280,0,26,0
1406716595216,0,3,0
1406716595603,0,30,0
1406716599284,0,1,0
1406716600078,0,8,0
1406716600215,0,5,0
1406716605565,0,9,0
